"estacion","lat","lng","coord"
"Eje central",19.3614,-99.1514,"19.3614,-99.1514"
"El Rosario",19.504541,-99.20002,"19.504541,-99.20002"
"Ermita",19.361883,-99.142942,"19.361883,-99.142942"
"Escuadrón 201",19.36492,-99.109554,"19.36492,-99.109554"
"Etiopía/Plaza de la Transparencia",19.395586,-99.156268,"19.395586,-99.156268"
"Eugenia",19.385466,-99.157469,"19.385466,-99.157469"
"Ferrería",19.490746,-99.173841,"19.490746,-99.173841"
"Fray Servando",19.421633,-99.120541,"19.421633,-99.120541"
"Garibaldi",19.444458,-99.139724,"19.444458,-99.139724"
"General Anaya",19.353259,-99.145002,"19.353259,-99.145002"
"Gómez Farías",19.416472,-99.09035,"19.416472,-99.09035"
"Guelatao",19.385162,-99.03574,"19.385162,-99.03574"
"Guerrero",19.445146,-99.145389,"19.445146,-99.145389"
"Hangares",19.424142,-99.087496,"19.424142,-99.087496"
"Hidalgo",19.437295,-99.147105,"19.437295,-99.147105"
"Hospital 20 de Noviembre",19.372,-99.171,"19.372,-99.171"
"Hospital General",19.413578,-99.153886,"19.413578,-99.153886"
"Impulsora",19.485851,-99.048915,"19.485851,-99.048915"
"Indios Verdes",19.495358,-99.119468,"19.495358,-99.119468"
"Instituto del Petróleo",19.489573,-99.14526,"19.489573,-99.14526"
"Insurgentes",19.423292,-99.163177,"19.423292,-99.163177"
"Insurgentes Sur",19.3736,-99.1788,"19.3736,-99.1788"
"Isabel la Católica",19.426732,-99.137685,"19.426732,-99.137685"
"Iztacalco",19.388562,-99.112215,"19.388562,-99.112215"
"Iztapalapa",19.357834,-99.093461,"19.357834,-99.093461"
"Jamaica",19.409004,-99.122171,"19.409004,-99.122171"
"Juanacatlán",19.41289,-99.182167,"19.41289,-99.182167"
"Juárez",19.433167,-99.147792,"19.433167,-99.147792"
"Lagunilla",19.443386,-99.131334,"19.443386,-99.131334"
"La Paz",19.350526,-98.960745,"19.350526,-98.960745"
"La Raza",19.470153,-99.136891,"19.470153,-99.136891"
"La Viga",19.406495,-99.126248,"19.406495,-99.126248"
"La Villa-Basílica",19.481522,-99.117923,"19.481522,-99.117923"
"Lázaro Cárdenas",19.40696,-99.144874,"19.40696,-99.144874"
"Lindavista",19.487712,-99.13466,"19.487712,-99.13466"
"Los Reyes",19.358968,-98.976903,"19.358968,-98.976903"
"Miguel Ángel de Quevedo",19.346395,-99.18103,"19.346395,-99.18103"
"Martín Carrera",19.484921,-99.104404,"19.484921,-99.104404"
"Merced",19.425558,-99.124639,"19.425558,-99.124639"
"Mexicaltzingo",19.3577,-99.1218,"19.3577,-99.1218"
"Misterios",19.463315,-99.130797,"19.463315,-99.130797"
"Mixcoac",19.375891,-99.187531,"19.375891,-99.187531"
"Mixiuhca",19.408478,-99.112902,"19.408478,-99.112902"
"Moctezuma",19.427218,-99.110305,"19.427218,-99.110305"
"Morelos",19.438974,-99.118266,"19.438974,-99.118266"
"Múzquiz",19.501629,-99.042048,"19.501629,-99.042048"
"Nativitas",19.379474,-99.140217,"19.379474,-99.140217"
"Nezahualcóyotl",19.473066,-99.054537,"19.473066,-99.054537"
"Niños Héroes",19.419508,-99.150581,"19.419508,-99.150581"
"Nopalera",19.3,-99.046666666667,"19.3,-99.046666666667"
"Normal",19.4444,-99.1674,"19.4444,-99.1674"
"Norte 45",19.488683,-99.162769,"19.488683,-99.162769"
"Obrera",19.413558,-99.144187,"19.413558,-99.144187"
"Observatorio",19.398237,-99.200363,"19.398237,-99.200363"
"Oceanía",19.445672,-99.087238,"19.445672,-99.087238"
"Olímpica",19.521328,-99.033422,"19.521328,-99.033422"
"Olivos",19.304166666667,-99.059722222222,"19.304166666667,-99.059722222222"
"Panteones",19.458763,-99.203153,"19.458763,-99.203153"
"Pantitlán",19.415359,-99.072132,"19.415359,-99.072132"
"Parque de los venados",19.3707,-99.1587,"19.3707,-99.1587"
"Patriotismo",19.4062,-99.1789,"19.4062,-99.1789"
"Peñón Viejo",19.37332,-99.017093,"19.37332,-99.017093"
"Periférico Oriente",19.3177,-99.0746,"19.3177,-99.0746"
"Pino Suárez",19.425336,-99.132943,"19.425336,-99.132943"
"Plaza Aragón",19.528447,-99.030118,"19.528447,-99.030118"
"Polanco",19.433511,-99.191029,"19.433511,-99.191029"
"Politécnico",19.50082,-99.149294,"19.50082,-99.149294"
"Popotla",19.452147,-99.1747,"19.452147,-99.1747"
"Portales",19.3698,-99.1416,"19.3698,-99.1416"
"Potrero",19.47691,-99.132171,"19.47691,-99.132171"
"Puebla",19.407142,-99.082432,"19.407142,-99.082432"
"Refinería",19.469951,-99.190578,"19.469951,-99.190578"
"Revolución",19.439561,-99.155431,"19.439561,-99.155431"
"Ricardo Flores Magón",19.436567,-99.103675,"19.436567,-99.103675"
"Río de los Remedios",19.490908,-99.046597,"19.490908,-99.046597"
"Romero Rubio",19.440735,-99.094362,"19.440735,-99.094362"
"Salto del Agua",19.426813,-99.142213,"19.426813,-99.142213"
"San Andrés Tomatlán",19.3283,-99.1049,"19.3283,-99.1049"
"San Antonio",19.384757,-99.186308,"19.384757,-99.186308"
"San Antonio Abad",19.418597,-99.134145,"19.418597,-99.134145"
"San Cosme",19.441706,-99.161096,"19.441706,-99.161096"
"San Joaquín",19.445793,-99.191823,"19.445793,-99.191823"
"San Juan de Letrán",19.431305,-99.141569,"19.431305,-99.141569"
"San Lázaro",19.430213,-99.114833,"19.430213,-99.114833"
"San Pedro de los Pinos",19.391275,-99.186051,"19.391275,-99.186051"
"Santa Anita",19.40273,-99.121699,"19.40273,-99.121699"
"Santa Marta",19.36,-98.994863,"19.36,-98.994863"
"Sevilla",19.421916,-99.17058,"19.421916,-99.17058"
"Tacuba",19.459349,-99.189205,"19.459349,-99.189205"
"Tacubaya",19.403439,-99.187102,"19.403439,-99.187102"
"Talismán",19.47428,-99.108009,"19.47428,-99.108009"
"Tasqueña",19.344168,-99.142685,"19.344168,-99.142685"
"Tepalcates",19.391335,-99.046383,"19.391335,-99.046383"
"Tepito",19.442495,-99.12333,"19.442495,-99.12333"
"Terminal Aérea",19.433734,-99.087667,"19.433734,-99.087667"
"Tezonco",19.306111111111,-99.065,"19.306111111111,-99.065"
"Tezozómoc",19.495116,-99.196286,"19.495116,-99.196286"
"Tláhuac",19.286256,-99.014114,"19.286256,-99.014114"
"Tlaltenco",19.294166666667,-99.023888888889,"19.294166666667,-99.023888888889"
"Tlatelolco",19.454979,-99.142814,"19.454979,-99.142814"
"UAM-I",19.351234,-99.074707,"19.351234,-99.074707"
"Universidad",19.324427,-99.17397,"19.324427,-99.17397"
"Valle Gómez",19.458742,-99.119296,"19.458742,-99.119296"
"Vallejo",19.490625,-99.15586,"19.490625,-99.15586"
"Velódromo",19.408478,-99.103074,"19.408478,-99.103074"
"Viaducto",19.400808,-99.136891,"19.400808,-99.136891"
"Villa de Aragón",19.461656,-99.061704,"19.461656,-99.061704"
"Villa de Cortés",19.38753,-99.138994,"19.38753,-99.138994"
"Viveros/Derechos Humanos",19.353724,-99.176052,"19.353724,-99.176052"
"Xola",19.3952,-99.1377,"19.3952,-99.1377"
"Zapata",19.370952,-99.164937,"19.370952,-99.164937"
"Zapotitlán",19.296666666667,-99.034444444444,"19.296666666667,-99.034444444444"
"Zaragoza",19.412344,-99.08241,"19.412344,-99.08241"
"Zócalo",19.433248,-99.1329,"19.433248,-99.1329"
